"","scenario","n","mean","sd"
"1","ff",154,0.11038961038961,0.314397199169456
"2","fm",158,0.170886075949367,0.377606238051064
"3","mf",161,0.062111801242236,0.242111570195148
"4","mm",156,0.141025641025641,0.349168929422106
