"","scenario","n","mean","sd"
"1","ff",154,0.25974025974026,0.439922673020885
"2","fm",158,0.0379746835443038,0.191742793131977
"3","mf",161,0.0807453416149068,0.27329368999995
"4","mm",156,0.108974358974359,0.312610609043716
