global_mf_ff,global_mf_fm,global_mf_mm,density_mf_ff,density_mf_fm,density_mf_mm,physab_mf_ff,physab_mf_fm,physab_mf_mm,physstr_mf_mm,physstr_mf_ff,physstr_mf_fm
26.252309508970086,67.51484754171588,1.0851415134816875,206,536,0,0.1714034995351591,-1.4731021556745132,-1.8838064745317564,-0.44815939107863756,-1.7369185979109996,-1.5568982250738723
-27.454144028776113,38.67656521886718,9.14551601822194,-296,330,146,-1.023246541112942,-0.02292867574202362,-1.7198336889200845,0.20702682392561433,-0.23798381468736537,-0.8964696041201823
30.71653756641001,50.09729297361801,28.5844863340387,210,394,172,-0.23639899684322296,-1.081153325409269,0.5423483223566509,-2.2040688997099673,-2.318956063508763,-0.352264463735557
6.7124342200559965,-36.407801624655775,-11.807700375594237,88,-290,-78,-1.1234101713896014,-2.481260489719851,0.5674228969234835,1.3082814319832121,0.5817584391053154,0.5331300142320603
-57.23704954138148,-44.919117055607416,-66.23716671697102,-452,-402,-532,-0.1827154273912348,0.9403448040079241,-1.371021001797757,1.5189469485220468,0.22758534298837535,-0.16750947245181474
21.409022524622628,37.772311167450965,39.57590906497148,202,318,318,0.036611388211212625,0.7949865113294843,0.8305581318367548,0.2769096893931287,-0.5917891118776969,1.178320464496955
21.303269565954395,40.826775774542256,41.24971902639794,198,328,360,-2.2917848794211793,-1.4247889755157903,-2.315217695053519,0.5912885485456278,0.5759109234222439,0.7904053780369941
5.1955831431425,-23.009157346067127,-25.629923126523806,-10,-226,-256,0.6486630042121755,-1.392052576763536,-0.25236387183295916,0.235776200497105,1.0838951931175267,1.3073689689179093
-16.037610287386087,54.221667424954546,8.015836190886887,-142,378,60,-0.5366981193196163,0.42136796217792716,0.2962760114538553,0.8330871243667821,1.5508898469959316,-0.2378169478282503
-56.832667029785284,-18.354490832499152,-60.85758755870421,-424,-98,-456,-1.2507029738181565,-3.696279848617727,-1.31102224304493,-0.12379512352839384,0.8413031148022683,1.3777644928141584
14.153824166391814,54.02832172808462,5.980415334347981,146,442,40,-0.8971180198765507,2.163230407137597,-1.7588226340310076,0.07251192383959615,-0.8149103955662705,0.39266117518997656
44.110873348453254,14.155112839949737,19.001225851425403,374,84,174,2.8261183715196503,1.5264342537199518,0.6675569005438065,-0.17642706901441974,-1.4324161569828529,-0.0492188752740087
68.58717529976127,19.16640208067713,32.89605618735385,504,194,212,1.5609779833365227,1.2387440999312698,1.189446297917757,1.0744542792155785,0.5970106347702683,0.6048205586188693
-52.885797989046665,-9.80422644354175,-40.74624133027913,-458,-78,-324,-0.2966287140179341,1.0349169804103506,-2.0809624099729076,0.601997662210046,-0.6988638734506092,0.6252217803260163
16.749988964371852,-1.775751701849913,-9.14752027711279,118,-42,-78,-2.555386855864747,-2.3125753784812715,-2.685421375122922,-0.9836147374597345,-0.3410542303670472,-0.7394616321720007
72.36411696965041,19.867550741914386,35.05790608126705,600,200,284,-1.2281960296362173,-2.184211752530963,-3.1299241773920436,-1.4305522449496482,-1.851582865351974,-0.33145874881252435
50.53791743004015,39.49751052388413,22.072910285706826,370,324,160,0.09307970466924509,2.0114333113710803,3.3579005871313985,-0.2108091430797926,0.9322461244070923,0.5204488841378092
