"","scenario","n","mean","sd"
"1","ff",161,2.98136645962733,1.190966255239
"2","fm",161,2.75155279503106,1.15125505373821
"3","mf",161,1.91304347826087,0.876008735314795
"4","mm",161,2.9748427672956,1.113494246571
