"","BIC"
"FF to FF",13825.7637560399
"FF to FM",23218.7437719321
"FF to MF",22705.8830828715
"FF to MM",22110.1742990176
"FM to FM",17701.9391797852
"FM to FF",24076.8006393664
"FM to MF",23795.8505062468
"FM to MM",23773.9901191702
"MF to MF",17303.8320183326
"MF to FF",23165.2619986084
"MF to FM",23917.2209018409
"MF to MM",23236.1314697045
"MM to MM",14978.3966548111
"MM to FF",22268.6444251732
"MM to FM",22944.2431197035
"MM to MF",22351.3673249404
