Finished,gender,age,ethnicity,ethnicity_6_TEXT,sexual_orientation
TRUE,Female,28,Asian,,Heterosexual or Straight
TRUE,Female,20,White,,Heterosexual or Straight
TRUE,Female,30,White,,Bisexual
TRUE,Female,39,White,,Heterosexual or Straight
TRUE,Female,30,White,,Heterosexual or Straight
TRUE,Female,44,White,,Other
TRUE,Female,58,White,,Heterosexual or Straight
TRUE,Male,57,White,,Heterosexual or Straight
TRUE,Male,23,White,,Heterosexual or Straight
TRUE,Female,42,White,,Heterosexual or Straight
TRUE,Female,43,White,,Heterosexual or Straight
TRUE,Female,42,White,,Heterosexual or Straight
TRUE,Female,27,White,,Heterosexual or Straight
TRUE,Male,62,White,,Heterosexual or Straight
TRUE,Female,40,White,,Heterosexual or Straight
TRUE,Male,39,Other,Mixed: White & Asian ,Heterosexual or Straight
TRUE,Male,29,White,,Heterosexual or Straight
TRUE,Male,43,White,,Heterosexual or Straight
TRUE,Male,45,Asian,,Heterosexual or Straight
TRUE,Male,52,"Black or African American,Other",Mixed race,Heterosexual or Straight
TRUE,Female,46,White,,Heterosexual or Straight
TRUE,Male,70,White,,Bisexual
TRUE,Female,79,White,,Heterosexual or Straight
TRUE,Male,31,White,,Heterosexual or Straight
TRUE,Female,73,White,,Heterosexual or Straight
TRUE,Female,34,White,,Gay or Lesbian
TRUE,Male,58,White,,Heterosexual or Straight
TRUE,Female,34,Black or African American,,Heterosexual or Straight
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
